OriginalLabel,EncodedLabel
Fungal infection,15
Allergy,4
GERD,16
Chronic cholestasis,9
Drug Reaction,14
Peptic ulcer diseae,33
AIDS,1
Diabetes,12
Gastroenteritis,17
Bronchial Asthma,6
Hypertension,23
Migraine,30
Cervical spondylosis,7
Paralysis (brain hemorrhage),32
Jaundice,28
Malaria,29
Chicken pox,8
Dengue,11
Typhoid,37
hepatitis A,40
Hepatitis B,19
Hepatitis C,20
Hepatitis D,21
Hepatitis E,22
Alcoholic hepatitis,3
Tuberculosis,36
Common Cold,10
Pneumonia,34
Dimorphic hemmorhoids(piles),13
Heart attack,18
Varicose veins,39
Hypothyroidism,26
Hyperthyroidism,24
Hypoglycemia,25
Osteoarthristis,31
Arthritis,5
(vertigo) Paroymsal  Positional Vertigo,0
Acne,2
Urinary tract infection,38
Psoriasis,35
Impetigo,27
