,Word
1,<OOV>
2,pain
3,of
4,loss
5,fatigue
6,skin
7,vomiting
8,fever
9,eyes
10,high
11,appetite
12,nausea
13,headache
14,abdominal
15,yellowish
16,urine
17,yellowing
18,muscle
19,chills
20,joint
21,itching
22,rash
23,malaise
24,chest
25,and
26,sweating
27,in
28,weight
29,dark
30,cough
31,diarrhoea
32,irritability
33,excessive
34,hunger
35,neck
36,stomach
37,lethargy
38,weakness
39,breathlessness
40,phlegm
41,sputum
42,mild
43,red
44,blood
45,nails
46,swelled
47,lymph
48,nodes
49,balance
50,vision
51,blurred
52,distorted
53,history
54,body
55,swelling
56,swollen
57,dizziness
58,continuous
59,receiving
60,abnormal
61,menstruation
62,nose
63,spots
64,heart
65,depression
66,over
67,irritation
68,fast
69,rate
70,throat
71,back
72,yellow
73,stiff
74,constipation
75,joints
76,walking
77,restlessness
78,obesity
79,family
80,mood
81,swings
82,painful
83,sneezing
84,indigestion
85,acidity
86,on
87,smell
88,movements
89,patches
90,burning
91,micturition
92,palpitations
93,increased
94,polyuria
95,behind
96,the
97,transfusion
98,unsterile
99,injections
100,coma
101,bleeding
102,redness
103,sinus
104,pressure
105,runny
106,congestion
107,rusty
108,enlarged
109,thyroid
110,brittle
111,extremeties
112,slurred
113,speech
114,feel
115,mucoid
116,visual
117,belly
118,bowel
119,stool
120,anus
121,legs
122,veins
123,face
124,lips
125,peeling
126,dents
127,passage
128,gases
129,internal
130,irregular
131,sugar
132,level
133,lack
134,concentration
135,disturbances
136,altered
137,sensorium
138,toxic
139,look
140,typhos
141,acute
142,liver
143,failure
144,distention
145,abdomen
146,alcohol
147,consumption
148,fluid
149,overload
150,during
151,anal
152,region
153,bloody
154,cramps
155,bruising
156,prominent
157,calf
158,gain
159,cold
160,hands
161,feets
162,puffy
163,anxiety
164,drying
165,tingling
166,knee
167,hip
168,movement
169,stiffness
170,unsteadiness
171,bladder
172,discomfort
173,silver
174,like
175,dusting
176,small
177,inflammatory
178,blister
179,sore
180,around
181,crust
182,ooze
183,pus
184,filled
185,pimples
186,blackheads
187,nodal
188,eruptions
189,dischromic
190,shivering
191,watering
192,from
193,ulcers
194,tongue
195,spotting
196,urination
197,wasting
198,extra
199,marital
200,contacts
201,sunken
202,dehydration
203,limbs
204,one
205,side
206,vessels
207,spinning
208,scurring
209,foul
210,causing
211,coughing
212,occasionally
213,elbows
214,calves
215,periods
216,diarrhea
217,arms
218,sores
219,rest
220,different
221,bumps
222,lumps
223,sinuses
224,brownish
225,go
226,really
227,muscles
228,thick
229,headaches
230,acid
231,lost
232,perspiring
233,pee
234,urinate
235,low
236,heartburn
237,eating
238,sour
239,hair
240,rashes
241,stools
242,acidic
243,upper
244,infections
245,dry
