,Word
1,<OOV>
2,pain
3,of
4,skin
5,loss
6,vomiting
7,fever
8,fatigue
9,high
10,eyes
11,appetite
12,headache
13,nausea
14,abdominal
15,rash
16,itching
17,yellowish
18,chills
19,urine
20,muscle
21,chest
22,yellowing
23,joint
24,sweating
25,and
26,cough
27,malaise
28,in
29,neck
30,weight
31,dark
32,diarrhoea
33,stomach
34,excessive
35,weakness
36,hunger
37,irritability
38,red
39,lethargy
40,breathlessness
41,body
42,phlegm
43,also
44,vision
45,balance
46,swollen
47,distorted
48,dizziness
49,blurred
50,sputum
51,mild
52,swelling
53,nodes
54,blood
55,lymph
56,nails
57,swelled
58,history
59,throat
60,lot
61,continuous
62,really
63,painful
64,back
65,nose
66,yellow
67,stiff
68,joints
69,spots
70,heart
71,walking
72,indigestion
73,constipation
74,patches
75,fast
76,depression
77,feel
78,rate
79,abnormal
80,menstruation
81,restlessness
82,irritation
83,acidity
84,sneezing
85,smell
86,receiving
87,obesity
88,over
89,mood
90,swings
91,movements
92,on
93,burning
94,family
95,feeling
96,micturition
97,experiencing
98,like
99,legs
100,discomfort
101,around
102,pimples
103,anus
104,sore
105,face
106,blackheads
107,pus
108,filled
109,small
110,visual
111,stool
112,mucoid
113,fluid
114,pressure
115,tingling
116,ooze
117,behind
118,veins
119,increased
120,belly
121,lips
122,slurred
123,speech
124,palpitations
125,bleeding
126,bowel
127,bloody
128,anxiety
129,cramps
130,stiffness
131,redness
132,runny
133,quite
134,crust
135,look
136,drying
137,abdomen
138,polyuria
139,blister
140,lack
141,sinus
142,congestion
143,peeling
144,internal
145,rusty
146,dents
147,cold
148,irregular
149,sugar
150,level
151,overload
152,vessels
153,enlarged
154,distention
155,alcohol
156,consumption
157,the
158,prominent
159,wasting
160,passage
161,gases
162,coma
163,concentration
164,scurring
165,dusting
166,transfusion
167,unsterile
168,injections
169,movement
170,knee
171,extra
172,marital
173,contacts
174,limbs
175,silver
176,calf
177,unsteadiness
178,dehydration
179,disturbances
180,region
181,hip
182,toxic
183,typhos
184,ulcers
185,tongue
186,thyroid
187,brittle
188,extremeties
189,sunken
190,inflammatory
191,bruising
192,shivering
193,severe
194,altered
195,puffy
196,dischromic
197,spotting
198,urination
199,acute
200,liver
201,failure
202,during
203,anal
204,sensorium
205,hurts
206,nodal
207,eruptions
208,gain
209,watering
210,from
211,spinning
212,hands
213,feets
214,bladder
215,one
216,side
217,foul
218,uncomfortable
219,coughing
220,weak
221,difficult
222,muscles
223,lost
224,go
225,sores
226,recently
227,exhausted
228,get
229,addition
230,extremely
231,along
232,itchy
233,arms
234,causing
235,developed
236,additionally
237,rashes
238,time
239,breathing
240,well
241,tired
242,trouble
243,ache
244,lately
245,hard
246,perspiring
247,temperature
248,become
249,suffering
250,noticed
251,anything
252,headaches
253,sick
254,mucus
255,days
256,issues
257,intense
258,feels
259,problems
260,frequently
261,accompanied
262,little
263,different
264,making
265,difficulty
266,thick
267,persistent
268,move
269,worse
270,rest
271,acid
272,bumps
273,seem
274,breath
275,eating
276,night
277,reflux
278,worried
279,walk
280,scratchy
281,since
282,aches
283,day
284,bothering
285,getting
286,without
287,often
288,constant
289,going
290,mucous
291,worn
292,frequent
293,dry
294,turned
295,terrible
296,dizzy
297,symptoms
298,inflamed
299,near
300,starting
301,struggling
302,racing
303,especially
304,bad
305,touch
306,becoming
307,even
308,disturbance
309,challenging
310,nasty
311,every
312,areas
313,brownish
314,calves
315,occasionally
316,lumps
317,itchiness
318,experienced
319,irritated
320,constantly
321,scurrying
322,unpleasant
323,concentrate
324,mouth
325,black
326,ill
327,strange
328,morning
329,fatigued
330,focus
331,away
332,heartburn
333,restroom
334,several
335,sinuses
336,sensitive
337,health
338,excruciatingly
339,past
340,diarrhea
341,extreme
342,hurting
343,always
344,eat
345,area
346,run
347,spreading
348,catch
349,bathroom
350,strong
351,tight
352,regular
353,color
354,uneasy
355,colored
356,due
357,producing
358,sour
359,food
360,lesions
361,long
362,periods
363,discomforts
364,sometimes
365,know
366,vomit
367,unwell
368,rashy
369,made
370,feet
371,pretty
372,got
373,seen
374,developing
375,irritating
376,exhaustion
377,work
378,taste
379,energy
380,hue
381,find
382,itch
383,scratching
384,moreover
385,pains
386,head
387,sensation
388,dealing
389,covered
390,keep
391,deal
392,including
393,hurt
394,resemble
395,incredibly
396,losing
397,gets
398,noticeable
399,rust
400,breathe
401,makes
402,butt
403,bothered
404,concerning
405,result
406,kind
407,everything
408,limb
409,coming
410,impatience
411,excruciating
412,lightheaded
413,last
414,see
415,started
416,woke
417,observed
418,felt
419,using
420,everywhere
421,bumpy
422,elbows
423,eyesight
424,impaired
425,queasy
426,soreness
427,unsteady
428,chronic
429,beating
430,whenever
431,chilly
432,congested
433,rather
434,balls
435,certain
436,cannot
437,something
438,swallowing
439,stop
440,difficulties
441,large
442,daily
443,believe
444,profusely
445,blistering
446,knees
447,pee
448,besides
449,clogged
450,visible
451,generally
452,stuffy
453,digestive
454,couple
455,muscular
456,week
457,itches
458,sleep
459,throwing
460,parts
461,bleeds
462,places
463,terribly
464,constipated
465,sleeping
466,miserable
467,life
468,focusing
469,regularly
470,nodules
471,sure
472,use
473,motions
474,concerned
475,odd
476,things
477,tough
478,nauseous
479,weird
480,throw
481,significant
482,nonstop
483,packed
484,fairly
485,simply
486,drained
487,part
488,awful
489,tiny
490,colour
491,doctor
492,rapidly
493,acidic
494,hiccups
495,prone
496,entire
497,normal
498,meals
499,much
500,seems
501,particularly
502,today
503,staying
504,suddenly
505,able
506,wrong
507,behalf
508,gotten
509,stand
510,plaguing
511,appeared
512,shade
513,stools
514,nauseated
515,seeing
516,sit
517,followed
518,running
519,roof
520,flaky
521,peel
522,unstable
523,usual
524,sadness
525,tone
526,horrible
527,becomes
528,severely
529,lump
530,healing
531,infection
532,ability
533,aching
534,pounding
535,lingering
536,try
537,appear
538,instability
539,major
540,swell
541,longer
542,regions
543,vertigo
544,worrying
545,bitter
546,facing
547,overweight
548,firm
549,times
550,blocked
551,productive
552,lots
553,’
554,urge
555,reason
556,distinct
557,silvery
558,rid
559,excessively
560,gunk
561,condition
562,giving
563,happening
564,scratch
565,idea
566,heavy
567,distortion
568,huge
569,upper
570,sudden
571,facial
572,creating
573,think
574,aside
575,appears
576,covers
577,brought
578,fullness
579,melancholy
580,completely
581,unable
582,sweat
583,shake
584,comes
585,right
586,bruise
587,balanced
588,numbness
589,experience
590,disoriented
591,swallow
592,protruding
593,foods
594,lie
595,everyday
596,apetite
597,explain
598,cracks
599,fingers
600,quickly
601,finding
602,stringy
603,aftertaste
604,usually
605,colors
606,aggravated
607,moving
608,hydrated
609,weeks
610,air
611,sharp
612,good
613,exhausting
614,activities
615,watery
616,differ
617,natural
618,present
619,disruptions
620,tightness
621,cause
622,eaten
623,overall
624,respiratory
625,scales
626,driving
627,steer
628,nagging
629,belching
630,shortness
631,current
632,strain
633,awoke
634,fine
635,hardly
636,looks
637,colours
638,attention
639,inflammation
640,various
641,voice
642,poor
643,wake
644,open
645,yesterday
646,cramp
647,include
648,medications
649,handle
650,oozing
651,hey
652,bloated
653,shallow
654,mom
655,drenched
656,affecting
657,beginning
658,turns
659,great
660,medication
661,concerns
662,number
663,taking
664,lethargic
665,stuck
666,suffer
667,tender
668,million
669,miles
670,hour
671,please
672,make
673,concentrating
674,reddish
675,fatty
676,spicy
677,strength
678,arm
679,middle
680,vomitting
681,dripping
682,furthermore
683,battling
684,weariness
685,discharge
686,woozy
687,grown
688,bleed
689,soles
690,change
691,fitting
692,shoes
693,causes
694,first
695,discovered
696,keeping
697,whereas
698,grownup
699,protrude
700,annoying
701,currently
702,many
703,wounds
704,unusual
705,saw
706,hungry
707,used
708,equilibrium
709,loose
710,looking
711,breakouts
712,blotches
713,complexion
714,boiling
715,clogging
716,fits
717,tremendously
718,production
719,caused
720,crazy
721,put
722,feeble
723,abound
724,breaking
725,hacking
726,moment
727,throughout
728,full
729,acquired
730,sense
731,loaded
732,growing
733,rough
734,develop
735,saliva
736,became
737,exercise
738,together
739,raised
740,mainly
741,initially
742,rub
743,trying
744,solid
745,disgusting
746,continuously
747,american
748,cheek
749,minor
750,ago
751,gunky
752,achy
753,goes
754,come
755,general
756,heal
757,working
758,encountering
759,mostly
