,Word
1,<OOV>
2,saya
3,dan
4,yang
5,sakit
6,mengalami
7,sangat
8,di
9,juga
10,tidak
11,merasa
12,kulit
13,ini
14,gatal
15,sering
16,banyak
17,dengan
18,demam
19,kepala
20,batuk
21,itu
22,telah
23,tinggi
24,untuk
25,leher
26,ruam
27,lelah
28,sulit
29,rasa
30,ada
31,memiliki
32,nyeri
33,otot
34,selain
35,parah
36,perut
37,kadang
38,makan
39,tubuh
40,kecil
41,benar
42,nyaman
43,mual
44,menjadi
45,hari
46,baru
47,beberapa
48,pusing
49,akhir
50,bisa
51,muntah
52,saat
53,aku
54,tenggorokan
55,merah
56,dada
57,kesulitan
58,menggigil
59,gangguan
60,lemah
61,bintik
62,karena
63,masalah
64,kaki
65,terus
66,badan
67,membuat
68,atau
69,terasa
70,berkeringat
71,punggung
72,menerus
73,kehilangan
74,air
75,penglihatan
76,bengkak
77,dari
78,berwarna
79,menderita
80,cukup
81,nafsu
82,suhu
83,berjalan
84,berat
85,asam
86,pencernaan
87,luka
88,menyakitkan
89,pada
90,kaku
91,buang
92,ketika
93,hidung
94,pergi
95,mulai
96,malam
97,kelelahan
98,terkadang
99,lengan
100,darah
101,bagi
102,seperti
103,bagian
104,waktu
105,jerawat
106,kering
107,lendir
108,seluruh
109,anus
110,kuning
111,berdarah
112,ketidaknyamanan
113,serta
114,lebih
115,dahak
116,sendi
117,bernapas
118,semakin
119,enak
120,disertai
121,kelemahan
122,mata
123,wajah
124,gejala
125,benjolan
126,kencing
127,mengganggu
128,keseimbangan
129,nanah
130,menyebabkan
131,selama
132,sepertinya
133,ke
134,merasakan
135,komedo
136,selalu
137,dadaku
138,apa
139,sepanjang
140,besar
141,setelah
142,sembelit
143,berbeda
144,seiring
145,biasa
146,sudah
147,hebat
148,tidur
149,jantungku
150,kencang
151,ringan
152,terlihat
153,secara
154,tanpa
155,turun
156,terutama
157,gelap
158,ingin
159,berlebihan
160,setiap
161,tiba
162,kabur
163,berisi
164,khawatir
165,tersumbat
166,fokus
167,makanan
168,kental
169,bergerak
170,kamar
171,sejak
172,lain
173,refluks
174,melihat
175,bersin
176,sembuh
177,aneh
178,kedinginan
179,kuat
180,lapar
181,mana
182,pernah
183,dalam
184,mulut
185,hal
186,terakhir
187,bau
188,marah
189,pernapasan
190,sekitar
191,kram
192,berlendir
193,mendapatkan
194,persendian
195,berkonsentrasi
196,lekas
197,mengeluarkan
198,urin
