,Word
1,<OOV>
2,also
3,skin
4,lot
5,really
6,pain
7,fever
8,feeling
9,feel
10,experiencing
11,high
12,neck
13,chest
14,get
15,cough
16,headache
17,hurts
18,quite
19,throat
20,rash
21,severe
22,body
23,itching
24,red
25,chills
26,weak
27,back
28,frequently
29,coughing
30,painful
31,discomfort
32,difficult
33,nausea
34,muscles
35,stomach
36,like
37,uncomfortable
38,lost
39,time
40,recently
41,appetite
42,go
43,vomiting
44,trouble
45,exhausted
46,headaches
47,stiff
48,swollen
49,occasionally
50,breathing
51,legs
52,nose
53,well
54,along
55,joints
56,additionally
57,weight
58,indigestion
59,night
60,temperature
61,addition
62,yellow
63,dry
64,dizziness
65,often
66,extremely
67,rashes
68,pimples
69,sore
70,eyes
71,sores
72,itchy
73,anus
74,ache
75,arms
76,sometimes
77,muscle
78,weakness
79,causing
80,spots
81,urine
82,heart
83,lately
84,face
85,become
86,intense
87,developed
88,filled
89,perspiring
90,pee
91,tired
92,phlegm
93,issues
94,hard
95,pus
96,problems
97,vision
98,suffering
99,blood
100,since
101,making
102,little
103,blackheads
104,sweating
105,around
106,acid
107,seem
108,walking
109,days
110,feels
111,balance
112,sick
113,getting
114,worse
115,frequent
116,mucus
117,reflux
118,symptoms
119,excessive
120,difficulty
121,different
122,mild
123,noticed
124,mouth
125,aches
126,smell
127,dark
128,anything
129,eating
130,thick
131,accompanied
132,visual
133,worn
134,persistent
135,especially
136,constantly
137,constipation
138,taste
139,move
140,breath
141,terrible
142,dizzy
143,day
144,small
145,becoming
146,walk
147,abdominal
148,loss
149,challenging
150,rest
151,bloody
152,fatigue
153,urinate
154,hunger
155,fatigued
156,racing
157,head
158,regularly
159,patches
160,irritability
161,bumps
162,scratchy
163,going
164,bad
165,food
166,constant
167,black
168,disturbance
169,sneezing
170,blurred
171,away
172,bothering
173,without
174,heartburn
175,bowel
176,worried
177,strong
178,mucous
179,stool
180,starting
181,focus
182,concentrate
183,always
184,turned
185,vomit
186,losing
187,cramps
188,stiffness
189,regular
190,brownish
191,abdomen
192,mucoid
193,inflamed
194,depression
195,lightheaded
196,near
197,swelling
198,even
199,hurt
200,past
201,distorted
202,nodes
203,every
204,struggling
205,sensitive
206,burning
207,feet
208,restroom
209,sensation
210,increased
211,eat
212,experienced
213,sinuses
214,swallowing
215,nauseous
216,extreme
217,lumps
218,ill
219,strange
220,sputum
221,color
222,energy
223,lymph
224,area
225,uneasy
226,spreading
227,itchiness
228,makes
229,experience
230,pressure
231,including
232,sour
233,exhaustion
234,difficulties
235,pretty
236,areas
237,unpleasant
238,touch
239,urges
240,stop
241,excruciatingly
242,seems
243,veins
244,nails
245,calves
246,tight
247,cold
248,diarrhea
249,stools
250,times
251,started
252,lack
253,due
254,belly
255,health
256,everything
257,upper
258,gets
259,pains
260,infections
261,sleeping
262,low
263,nasty
264,joint
265,bathroom
266,scurrying
267,deal
268,queasy
269,healing
270,much
271,bleeding
272,last
273,tingling
274,lips
275,run
276,result
277,entire
278,hurting
279,excruciating
280,irritated
281,behind
282,fluid
283,moreover
284,itch
285,morning
286,activities
287,scratching
288,sleep
289,look
290,keep
291,breathe
292,smells
293,peeling
294,covered
295,flaky
296,developing
297,impatience
298,felt
299,find
300,work
301,things
302,using
303,resemble
304,eyesight
305,staying
306,impaired
307,incredibly
308,observed
309,catch
310,awful
311,running
312,hue
313,several
314,swell
315,dents
316,belching
317,irritating
318,vessels
319,long
320,foul
321,acidity
322,temperatures
323,elbows
324,almost
325,use
326,generally
327,suddenly
328,focusing
329,everywhere
330,made
331,bloated
332,unwell
333,whenever
334,colored
335,beating
336,motions
337,knees
338,ability
339,aftertaste
340,rashy
341,constipated
342,bloating
343,discomforts
344,producing
345,rather
346,acidic
347,know
348,certain
349,bumpy
350,unsteady
351,able
352,week
353,think
354,believe
355,kind
356,dealing
357,profusely
358,rust
359,sneeze
360,daily
361,hungry
362,noticeable
363,burping
364,blocked
365,sense
366,shivering
367,cannot
368,itches
369,digestive
370,scurring
371,usual
372,bleeds
373,control
374,’
375,muscular
376,appear
377,chronic
378,lose
379,asleep
380,changes
381,hair
382,change
383,limb
384,balls
385,migraines
386,numbness
387,prone
388,lesions
389,doctor
390,chilly
391,congested
392,tough
393,significant
394,limbs
395,parts
396,urge
397,simply
398,throwing
399,gotten
400,life
401,miserable
402,part
403,pounding
404,seen
405,palpitations
406,nodules
407,watery
408,visible
409,furthermore
410,movements
411,lower
412,scalp
413,want
414,large
415,foggy
416,periods
417,vertigo
418,meals
419,soreness
420,see
421,sweat
422,got
423,clogged
424,runny
425,falling
426,shortness
427,coming
428,drained
429,sadness
430,tasks
431,hazy
432,cloudy
433,melancholy
434,easily
435,besides
436,balanced
437,weird
438,woke
439,woozy
440,throughout
441,throw
442,sure
443,usually
444,bruises
445,appears
446,flake
447,bruise
448,concerning
449,caused
450,arm
451,odd
452,behalf
453,nonstop
454,occasion
455,hands
456,start
457,enlarged
458,rid
459,belch
460,butt
461,couple
462,horrible
463,shaking
464,come
465,fast
466,sudden
467,rapidly
468,foods
469,bothered
470,longer
471,fine
472,aching
473,particularly
474,packed
475,places
476,fullness
477,urinating
478,something
479,brain
480,shade
481,great
482,hacking
483,infection
484,cheeks
485,good
486,instability
487,concerned
488,plaguing
489,hardly
490,saliva
491,cravings
492,discharge
493,lying
494,today
495,ooze
496,scratch
497,better
498,heal
499,slowly
500,irritations
501,puffy
502,tone
503,urination
504,jaw
505,terribly
506,nasal
507,congestion
508,normal
509,colour
510,dusting
511,redness
512,roof
513,bitter
514,produced
515,right
516,facing
517,causes
518,marks
519,temps
520,stand
521,prominent
522,lightheadedness
523,lethargic
524,everyday
525,try
526,excessively
527,spicy
528,hours
529,take
530,severely
531,irritation
532,tarry
533,distortion
534,cuts
535,odour
536,driving
537,disoriented
538,peel
539,tiny
540,lingering
541,suffer
542,trembling
543,grown
544,growing
545,stuff
546,stuck
547,sex
548,unstable
549,distinct
550,major
551,lots
552,anxiety
553,quickly
554,followed
555,stringy
556,typically
557,becomes
558,bleed
559,comes
560,annoying
561,colors
562,condition
563,uncontrollable
564,relieve
565,finding
566,wounds
567,may
568,puffing
569,water
570,region
571,heavy
572,tightness
573,stuffy
574,gunk
575,shake
576,scales
577,standing
578,seeing
579,explain
580,fingers
581,rate
582,wound
583,numb
584,overweight
585,cracks
586,began
587,apetite
588,physical
589,unable
590,gas
591,interfering
592,beginning
593,drenched
594,silvery
595,appeared
596,looks
597,make
598,strength
599,desires
600,smelling
601,completely
602,fatty
